                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6005,                 1.1504,                0.96866,                0.70801,                0.60729,                0.65957,                0.46187,                 1.5895,                 1.1334,                0.97612,             0.00019528,             0.00019528,             0.00019528
                      2,                 1.5975,                 1.1674,                0.96867,                0.72829,                0.59883,                0.65966,                0.46179,                 1.5744,                  1.132,                0.98024,             0.00038741,             0.00038741,             0.00038741
                      3,                 1.6362,                 1.1988,                0.98096,                0.72131,                0.57537,                0.63735,                0.41837,                 1.6515,                 1.1929,                0.99997,             0.00057565,             0.00057565,             0.00057565
                      4,                 1.6169,                 1.1928,                0.98034,                0.68211,                0.62028,                0.65546,                0.44304,                 1.6064,                 1.1607,                0.98933,             0.00057054,             0.00057054,             0.00057054
                      5,                 1.5999,                 1.1776,                0.97179,                0.72203,                0.59979,                0.65832,                0.46237,                 1.5849,                 1.1491,                0.97765,             0.00057054,             0.00057054,             0.00057054
                      6,                 1.6188,                 1.1829,                0.96785,                0.70691,                 0.5953,                0.65525,                0.45124,                 1.6074,                 1.1534,                0.98012,             0.00056472,             0.00056472,             0.00056472
                      7,                 1.6072,                 1.1675,                0.97434,                0.74559,                0.58287,                0.65263,                 0.4395,                 1.6136,                 1.1543,                0.98656,             0.00055889,             0.00055889,             0.00055889
                      8,                 1.6037,                 1.1723,                0.97215,                0.75052,                0.57335,                 0.6382,                0.43974,                 1.6028,                 1.1727,                0.98721,             0.00055307,             0.00055307,             0.00055307
                      9,                 1.6019,                 1.1628,                0.97321,                0.73094,                0.60029,                0.65573,                0.45657,                 1.5844,                 1.1271,                0.98097,             0.00054725,             0.00054725,             0.00054725
                     10,                 1.6388,                 1.2172,                0.98119,                0.74724,                0.57547,                 0.6573,                 0.4489,                 1.5809,                 1.1338,                0.97778,             0.00054143,             0.00054143,             0.00054143
                     11,                 1.6137,                 1.1767,                0.97465,                0.67728,                0.62231,                0.67114,                0.46186,                 1.5826,                 1.1244,                0.98479,             0.00053561,             0.00053561,             0.00053561
                     12,                 1.6308,                 1.1628,                0.97623,                0.68694,                0.60511,                0.65403,                0.43969,                 1.6125,                 1.1644,                0.99065,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.5557,                 1.1433,                0.96762,                0.73532,                0.59607,                0.66801,                0.46703,                 1.5795,                 1.1292,                0.98271,             0.00052397,             0.00052397,             0.00052397
                     14,                 1.6129,                 1.1562,                0.97357,                0.71168,                0.63972,                0.67953,                0.46542,                 1.5991,                 1.1037,                0.98173,             0.00051815,             0.00051815,             0.00051815
                     15,                 1.5888,                 1.1456,                0.97386,                0.72969,                0.63247,                0.68467,                0.47483,                 1.5778,                 1.0986,                0.98066,             0.00051232,             0.00051232,             0.00051232
                     16,                 1.6047,                 1.1688,                0.97274,                0.69824,                0.62167,                0.67676,                0.45982,                 1.5764,                  1.127,                0.97795,              0.0005065,              0.0005065,              0.0005065
                     17,                 1.5873,                   1.14,                0.97123,                0.75029,                  0.629,                0.68729,                0.48631,                 1.5664,                 1.1016,                 0.9781,             0.00050068,             0.00050068,             0.00050068
                     18,                 1.6034,                 1.1369,                0.97114,                0.77568,                0.60292,                0.68815,                0.47755,                 1.6059,                 1.1191,                0.98726,             0.00049486,             0.00049486,             0.00049486
                     19,                 1.6174,                 1.1308,                0.97697,                 0.7704,                0.60961,                0.69341,                0.48151,                 1.5881,                 1.0814,                0.98352,             0.00048904,             0.00048904,             0.00048904
                     20,                 1.5939,                 1.1234,                0.96814,                 0.7727,                0.61187,                0.69209,                0.46201,                 1.6483,                 1.1288,                0.99111,             0.00048322,             0.00048322,             0.00048322
                     21,                 1.6069,                 1.1291,                0.96707,                 0.7662,                0.63262,                0.69039,                0.47476,                 1.5781,                 1.0974,                0.97455,              0.0004774,              0.0004774,              0.0004774
                     22,                 1.5514,                 1.0982,                0.95987,                0.75878,                0.65582,                0.70991,                0.48482,                 1.5871,                 1.0893,                0.98665,             0.00047158,             0.00047158,             0.00047158
                     23,                 1.5536,                 1.1055,                0.96249,                0.75861,                0.63312,                0.69823,                0.48164,                 1.5632,                 1.0841,                0.97497,             0.00046575,             0.00046575,             0.00046575
                     24,                 1.5688,                 1.0989,                0.96434,                0.75636,                0.63996,                 0.6936,                0.48447,                 1.5742,                 1.0865,                0.97678,             0.00045993,             0.00045993,             0.00045993
                     25,                 1.5748,                 1.0908,                 0.9643,                0.71337,                0.67073,                0.70347,                0.49596,                 1.5512,                 1.0657,                0.97525,             0.00045411,             0.00045411,             0.00045411
                     26,                 1.5627,                 1.0938,                0.96244,                0.77045,                0.63496,                0.70484,                0.50028,                 1.5423,                 1.0628,                0.97302,             0.00044829,             0.00044829,             0.00044829
                     27,                 1.5646,                 1.0884,                 0.9664,                0.78369,                0.63989,                0.70101,                 0.4881,                 1.5761,                 1.0675,                0.97845,             0.00044247,             0.00044247,             0.00044247
                     28,                 1.5669,                 1.1016,                0.96171,                0.73431,                0.66033,                0.70287,                 0.4795,                  1.578,                 1.0728,                0.97831,             0.00043665,             0.00043665,             0.00043665
                     29,                 1.5795,                 1.1014,                0.96463,                0.77088,                0.64539,                0.71505,                0.49175,                 1.5766,                 1.0752,                0.97969,             0.00043083,             0.00043083,             0.00043083
                     30,                 1.5629,                  1.073,                0.95927,                0.76803,                0.64099,                0.70979,                0.48385,                 1.5652,                  1.063,                 0.9726,             0.00042501,             0.00042501,             0.00042501
                     31,                 1.5513,                 1.0826,                0.95808,                0.76877,                0.65196,                0.71456,                0.50341,                 1.5474,                 1.0447,                0.96971,             0.00041919,             0.00041919,             0.00041919
                     32,                 1.5458,                 1.0695,                0.95498,                0.72344,                 0.6356,                0.68527,                0.48527,                 1.5486,                 1.0582,                0.97358,             0.00041336,             0.00041336,             0.00041336
                     33,                 1.5369,                 1.0701,                0.96042,                0.78777,                0.65799,                0.71955,                0.49287,                 1.5905,                 1.0527,                0.98313,             0.00040754,             0.00040754,             0.00040754
                     34,                 1.5461,                 1.0624,                0.96046,                 0.7638,                0.66138,                0.70968,                0.49658,                 1.5529,                 1.0567,                0.97298,             0.00040172,             0.00040172,             0.00040172
                     35,                 1.5382,                 1.0615,                0.95732,                0.75924,                0.65524,                0.71268,                0.49361,                 1.5554,                 1.0523,                0.96816,              0.0003959,              0.0003959,              0.0003959
                     36,                 1.5612,                 1.0663,                0.95862,                0.79892,                0.64317,                0.72197,                0.49723,                 1.5549,                 1.0487,                0.97548,             0.00039008,             0.00039008,             0.00039008
                     37,                 1.5134,                 1.0311,                0.95588,                0.78434,                 0.6472,                0.71663,                0.48977,                 1.5838,                  1.038,                0.97605,             0.00038426,             0.00038426,             0.00038426
                     38,                 1.5277,                   1.05,                0.95574,                0.78078,                0.66104,                0.72384,                 0.5064,                 1.5411,                 1.0314,                0.96777,             0.00037844,             0.00037844,             0.00037844
                     39,                  1.525,                 1.0425,                0.95173,                0.75373,                0.66525,                 0.7186,                0.51191,                 1.5151,                 1.0191,                0.96538,             0.00037262,             0.00037262,             0.00037262
                     40,                 1.5289,                 1.0349,                0.95797,                0.78715,                0.66899,                0.73254,                0.52136,                 1.5223,                 1.0133,                0.96502,             0.00036679,             0.00036679,             0.00036679
                     41,                 1.5007,                 1.0208,                0.95064,                0.74168,                0.66834,                0.71736,                0.49684,                 1.5367,                 1.0309,                0.96978,             0.00036097,             0.00036097,             0.00036097
                     42,                 1.5144,                  1.026,                0.95512,                0.76592,                0.67275,                0.72845,                 0.5094,                 1.5343,                 1.0302,                0.97017,             0.00035515,             0.00035515,             0.00035515
                     43,                 1.5475,                  1.044,                0.95674,                0.77359,                0.66906,                0.72794,                0.51156,                 1.5259,                 1.0193,                0.96602,             0.00034933,             0.00034933,             0.00034933
                     44,                 1.5194,                 1.0289,                0.94757,                0.76805,                0.66648,                0.73063,                  0.511,                 1.5306,                 1.0155,                0.96328,             0.00034351,             0.00034351,             0.00034351
