                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2511,                 3.9584,                 1.2752,                0.69484,                0.08937,                0.07252,                0.03911,                 2.1711,                 2.7954,                 1.1567,             0.00019528,             0.00019528,             0.00019528
                      2,                 2.2438,                 2.8969,                 1.1648,                0.63289,                  0.123,                0.09277,                0.04989,                 2.1031,                 2.4135,                 1.1026,             0.00038741,             0.00038741,             0.00038741
                      3,                 2.1719,                 2.6264,                 1.1514,                0.49602,                0.13055,                0.12161,                0.06665,                 2.0034,                 2.1671,                 1.0996,             0.00057565,             0.00057565,             0.00057565
                      4,                 2.1205,                 2.4204,                  1.147,                 0.4577,                0.15165,                0.12602,                0.06965,                 1.9609,                 2.0944,                 1.1052,             0.00057054,             0.00057054,             0.00057054
                      5,                  2.087,                 2.3075,                 1.1305,                0.26642,                 0.1829,                0.14943,                 0.0848,                 1.9118,                 2.0645,                  1.093,             0.00057054,             0.00057054,             0.00057054
                      6,                 2.0748,                 2.2044,                 1.1032,                0.36398,                0.22957,                0.14956,                0.08571,                 1.9146,                 1.9407,                 1.0833,             0.00056472,             0.00056472,             0.00056472
                      7,                 2.0062,                 2.1143,                 1.1045,                0.50326,                0.21102,                0.19602,                0.10869,                 1.9293,                 1.9117,                 1.0796,             0.00055889,             0.00055889,             0.00055889
                      8,                 1.9787,                 2.0398,                 1.0911,                0.42689,                0.28186,                0.21266,                0.12905,                 1.9171,                 1.8462,                 1.0712,             0.00055307,             0.00055307,             0.00055307
                      9,                 1.9641,                 1.9855,                 1.0918,                0.57491,                 0.2933,                0.23173,                0.14475,                 1.8763,                 1.7891,                  1.068,             0.00054725,             0.00054725,             0.00054725
                     10,                 1.9698,                 1.9855,                 1.0821,                 0.5784,                0.29533,                 0.2549,                0.15563,                 1.8666,                 1.7511,                 1.0632,             0.00054143,             0.00054143,             0.00054143
                     11,                 1.9463,                 1.9075,                 1.0819,                0.58745,                0.29706,                0.26235,                 0.1658,                 1.8336,                 1.7094,                 1.0594,             0.00053561,             0.00053561,             0.00053561
                     12,                 1.9202,                 1.8804,                 1.0704,                  0.632,                0.28582,                0.29138,                0.18669,                 1.8137,                 1.6758,                 1.0498,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.8649,                 1.8308,                 1.0697,                0.64735,                0.31393,                0.30698,                0.19536,                 1.8342,                 1.6759,                 1.0563,             0.00052397,             0.00052397,             0.00052397
                     14,                 1.9024,                 1.8362,                 1.0651,                0.65276,                0.31683,                0.32857,                0.21461,                 1.8137,                 1.6369,                 1.0569,             0.00051815,             0.00051815,             0.00051815
                     15,                 1.8807,                 1.7863,                 1.0674,                0.65547,                0.31155,                0.33889,                0.22002,                 1.7912,                 1.6245,                 1.0469,             0.00051232,             0.00051232,             0.00051232
                     16,                 1.9041,                  1.811,                 1.0692,                0.66065,                0.34044,                 0.3562,                0.23681,                 1.7539,                 1.6135,                 1.0414,              0.0005065,              0.0005065,              0.0005065
                     17,                 1.8473,                 1.7523,                 1.0538,                0.57471,                0.35274,                0.35582,                 0.2296,                  1.788,                 1.5966,                 1.0392,             0.00050068,             0.00050068,             0.00050068
                     18,                 1.8525,                 1.7197,                 1.0544,                0.50101,                0.36957,                0.36657,                0.23422,                 1.7944,                 1.5729,                  1.045,             0.00049486,             0.00049486,             0.00049486
                     19,                 1.8416,                 1.6925,                 1.0486,                0.59042,                0.36178,                0.37776,                0.24871,                 1.7512,                 1.5272,                 1.0338,             0.00048904,             0.00048904,             0.00048904
                     20,                 1.8201,                 1.6666,                 1.0398,                0.48819,                0.38298,                0.39034,                0.25274,                 1.8255,                 1.5722,                 1.0469,             0.00048322,             0.00048322,             0.00048322
                     21,                 1.8461,                 1.6637,                 1.0423,                0.67415,                0.35656,                0.37158,                0.23374,                 1.7842,                 1.5559,                 1.0428,              0.0004774,              0.0004774,              0.0004774
                     22,                 1.7964,                 1.6246,                 1.0371,                0.62739,                0.39065,                0.42459,                0.28869,                 1.7291,                 1.4919,                 1.0275,             0.00047158,             0.00047158,             0.00047158
                     23,                  1.788,                  1.614,                 1.0342,                0.50853,                0.40001,                0.42029,                0.27684,                 1.7281,                 1.4837,                 1.0268,             0.00046575,             0.00046575,             0.00046575
                     24,                 1.8215,                 1.6109,                 1.0418,                0.38335,                0.41229,                 0.3868,                0.25164,                 1.7755,                 1.4922,                 1.0345,             0.00045993,             0.00045993,             0.00045993
                     25,                 1.8076,                 1.5936,                 1.0377,                0.56287,                0.39611,                0.40889,                0.26646,                 1.7355,                 1.4876,                 1.0262,             0.00045411,             0.00045411,             0.00045411
                     26,                 1.7925,                 1.5804,                 1.0343,                0.53484,                0.41494,                0.43197,                0.29175,                 1.7041,                 1.4587,                 1.0223,             0.00044829,             0.00044829,             0.00044829
                     27,                 1.7841,                  1.552,                 1.0311,                0.46636,                0.45817,                0.44343,                0.30137,                 1.7125,                 1.4352,                 1.0173,             0.00044247,             0.00044247,             0.00044247
                     28,                 1.7919,                 1.5646,                  1.028,                0.44136,                 0.4555,                0.43815,                  0.297,                 1.7497,                 1.4402,                 1.0258,             0.00043665,             0.00043665,             0.00043665
                     29,                 1.7812,                 1.5559,                 1.0271,                0.48577,                 0.4369,                0.45585,                0.30748,                  1.707,                 1.4205,                 1.0247,             0.00043083,             0.00043083,             0.00043083
                     30,                 1.7505,                 1.4923,                 1.0152,                0.47748,                0.44772,                0.44582,                0.28797,                 1.7129,                 1.4042,                  1.019,             0.00042501,             0.00042501,             0.00042501
                     31,                   1.76,                 1.5119,                  1.021,                0.47436,                0.45096,                0.45141,                0.30211,                 1.7003,                 1.4014,                 1.0181,             0.00041919,             0.00041919,             0.00041919
                     32,                 1.7635,                  1.486,                 1.0183,                 0.5497,                0.44618,                0.46876,                0.31124,                 1.7036,                 1.3982,                  1.018,             0.00041336,             0.00041336,             0.00041336
                     33,                 1.7445,                  1.479,                 1.0211,                0.48123,                0.48095,                0.49289,                0.33105,                 1.7254,                 1.3641,                 1.0178,             0.00040754,             0.00040754,             0.00040754
                     34,                 1.7585,                 1.4775,                 1.0225,                0.52905,                 0.4499,                0.48389,                0.32343,                 1.6894,                 1.3707,                  1.015,             0.00040172,             0.00040172,             0.00040172
                     35,                 1.7339,                 1.4519,                 1.0156,                0.50659,                0.47381,                0.47795,                0.32236,                 1.6883,                 1.3645,                 1.0119,              0.0003959,              0.0003959,              0.0003959
                     36,                 1.7501,                 1.4639,                 1.0118,                0.51529,                0.49864,                0.49291,                0.33895,                 1.6648,                 1.3509,                 1.0063,             0.00039008,             0.00039008,             0.00039008
