                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3293,                0.78617,                0.90085,                0.83214,                0.77234,                0.82362,                0.61274,                 1.3869,                0.81958,                0.92689,             0.00019528,             0.00019528,             0.00019528
                      2,                 1.3201,                0.78805,                 0.8977,                0.85195,                0.75993,                0.81644,                0.60283,                 1.3988,                0.84152,                 0.9293,             0.00039031,             0.00039031,             0.00039031
                      3,                 1.3747,                0.82684,                0.91169,                 0.8486,                0.74064,                0.80383,                0.58283,                 1.4171,                0.85793,                 0.9376,             0.00058437,             0.00058437,             0.00058437
                      4,                 1.4147,                0.84193,                0.92342,                0.81934,                0.74692,                0.80877,                0.56904,                 1.4641,                0.87056,                 0.9499,             0.00058363,             0.00058363,             0.00058363
                      5,                 1.4142,                0.83663,                0.91834,                0.82204,                0.75012,                0.80549,                0.59285,                 1.4467,                0.85837,                0.94531,             0.00058363,             0.00058363,             0.00058363
                      6,                 1.3838,                0.82879,                0.90752,                0.83622,                0.74759,                0.80777,                0.58691,                 1.4231,                0.87453,                0.93562,             0.00058218,             0.00058218,             0.00058218
                      7,                 1.3672,                0.82304,                0.91059,                0.84824,                 0.7434,                0.80287,                0.58279,                 1.4555,                0.86253,                0.94297,             0.00058072,             0.00058072,             0.00058072
                      8,                 1.3582,                0.82559,                0.90887,                0.83884,                0.74721,                0.81334,                 0.5965,                 1.4077,                0.86218,                0.93287,             0.00057927,             0.00057927,             0.00057927
                      9,                 1.3576,                0.81861,                0.90922,                0.84602,                0.75569,                 0.8103,                0.58109,                 1.4481,                0.87553,                0.94154,             0.00057781,             0.00057781,             0.00057781
                     10,                 1.3827,                0.84282,                0.91071,                0.83669,                0.75021,                0.80972,                0.59017,                 1.4243,                0.85071,                0.93737,             0.00057636,             0.00057636,             0.00057636
                     11,                 1.3704,                0.83082,                0.91024,                0.82717,                0.74546,                 0.8043,                 0.5873,                 1.4329,                0.85973,                0.94397,              0.0005749,              0.0005749,              0.0005749
                     12,                 1.3605,                0.82077,                0.90786,                0.80442,                0.75984,                0.79466,                0.57883,                 1.4315,                0.87133,                0.94016,             0.00057345,             0.00057345,             0.00057345
                     13,                 1.3279,                0.81267,                0.90726,                0.85202,                0.74204,                0.80607,                0.59346,                  1.422,                0.86066,                0.93834,             0.00057199,             0.00057199,             0.00057199
                     14,                 1.3861,                0.83708,                0.91195,                0.83782,                 0.7424,                0.80578,                0.58058,                 1.4547,                0.86839,                0.94479,             0.00057054,             0.00057054,             0.00057054
                     15,                 1.3664,                0.83345,                0.91384,                0.83965,                0.75512,                0.81277,                0.59425,                 1.4314,                0.84904,                0.93765,             0.00056908,             0.00056908,             0.00056908
                     16,                 1.3695,                0.83977,                0.91052,                0.83586,                0.75973,                0.80991,                0.58947,                 1.4331,                0.86011,                0.93981,             0.00056763,             0.00056763,             0.00056763
                     17,                 1.3947,                0.84509,                0.91917,                0.83537,                0.74538,                0.80164,                0.58281,                 1.4288,                0.86936,                0.93927,             0.00056617,             0.00056617,             0.00056617
                     18,                 1.3665,                0.83047,                 0.9097,                0.83003,                0.74562,                0.80645,                0.59058,                 1.4168,                0.85775,                 0.9331,             0.00056472,             0.00056472,             0.00056472
                     19,                 1.3496,                 0.8156,                0.91001,                0.85601,                0.74652,                0.81697,                0.58943,                 1.4201,                0.85623,                 0.9347,             0.00056326,             0.00056326,             0.00056326
                     20,                  1.352,                0.82279,                0.90619,                0.82017,                0.75678,                0.80551,                 0.5869,                 1.4154,                0.86142,                0.93496,              0.0005618,              0.0005618,              0.0005618
                     21,                 1.3881,                0.83617,                0.91231,                0.85763,                0.73322,                0.80289,                 0.5793,                 1.4385,                0.86027,                0.94073,             0.00056035,             0.00056035,             0.00056035
                     22,                 1.3785,                0.83058,                0.91412,                0.83246,                0.74283,                0.80214,                0.58395,                 1.4345,                0.88116,                0.94187,             0.00055889,             0.00055889,             0.00055889
                     23,                 1.3814,                0.82845,                0.91456,                0.84337,                0.74406,                0.81428,                0.58556,                 1.4418,                0.85754,                0.94428,             0.00055744,             0.00055744,             0.00055744
                     24,                 1.3723,                0.81978,                0.91163,                0.84696,                0.74934,                0.81221,                0.59015,                 1.4191,                0.86063,                0.93951,             0.00055598,             0.00055598,             0.00055598
                     25,                 1.3972,                0.82377,                0.91522,                0.80597,                0.75541,                0.81122,                0.58623,                 1.4399,                0.86126,                0.94182,             0.00055453,             0.00055453,             0.00055453
                     26,                 1.3774,                 0.8259,                0.90977,                0.84138,                0.75379,                0.79704,                0.58355,                 1.4184,                0.85314,                 0.9381,             0.00055307,             0.00055307,             0.00055307
                     27,                 1.3842,                0.83194,                0.91652,                  0.849,                 0.7465,                0.81933,                0.59767,                 1.4237,                0.84688,                0.93773,             0.00055162,             0.00055162,             0.00055162
                     28,                 1.3716,                0.82833,                0.91046,                0.82326,                0.76633,                0.81292,                0.58307,                 1.4286,                0.86758,                0.93924,             0.00055016,             0.00055016,             0.00055016
                     29,                 1.3683,                0.82654,                0.91165,                0.82158,                0.74358,                 0.8045,                0.58824,                 1.4313,                0.86646,                0.94035,             0.00054871,             0.00054871,             0.00054871
                     30,                 1.3676,                0.82176,                0.90783,                0.85887,                0.74117,                0.80834,                0.58633,                 1.4381,                0.87248,                 0.9416,             0.00054725,             0.00054725,             0.00054725
                     31,                 1.3863,                0.84201,                0.91431,                0.84076,                0.74612,                0.80255,                0.58471,                 1.4329,                0.85307,                0.93434,              0.0005458,              0.0005458,              0.0005458
                     32,                 1.3958,                0.83241,                0.91396,                 0.8173,                0.74729,                 0.8009,                0.58695,                 1.4286,                0.86835,                 0.9349,             0.00054434,             0.00054434,             0.00054434
                     33,                 1.3668,                0.82545,                0.91505,                0.83773,                0.75805,                0.80255,                0.57861,                  1.434,                0.86062,                0.93829,             0.00054289,             0.00054289,             0.00054289
                     34,                 1.3699,                0.82552,                0.91391,                0.85978,                0.72412,                0.79573,                0.58247,                 1.4221,                0.86776,                0.93401,             0.00054143,             0.00054143,             0.00054143
                     35,                 1.3805,                0.82866,                0.91476,                0.85595,                0.74858,                0.80257,                 0.5816,                 1.4391,                0.85639,                0.94168,             0.00053998,             0.00053998,             0.00053998
                     36,                 1.3811,                0.82607,                0.91148,                0.85213,                0.76735,                0.82554,                0.61019,                 1.3956,                0.84481,                0.93086,             0.00053852,             0.00053852,             0.00053852
                     37,                  1.336,                0.79877,                 0.9086,                0.84556,                0.76545,                0.81854,                0.59878,                 1.4046,                0.84125,                0.93056,             0.00053706,             0.00053706,             0.00053706
                     38,                 1.3626,                0.82134,                0.91234,                0.86117,                0.75603,                 0.8195,                0.60047,                 1.4079,                0.83246,                0.93216,             0.00053561,             0.00053561,             0.00053561
                     39,                 1.3621,                0.81924,                0.91042,                0.83712,                0.75285,                0.81399,                 0.5955,                 1.3963,                0.84448,                0.93056,             0.00053415,             0.00053415,             0.00053415
                     40,                 1.3517,                 0.8093,                0.91178,                0.83811,                0.75645,                0.81688,                0.59137,                 1.4306,                0.85679,                0.93595,              0.0005327,              0.0005327,              0.0005327
                     41,                 1.3432,                0.80481,                 0.9087,                 0.8355,                0.75751,                0.81954,                0.59408,                 1.4221,                0.85038,                0.93507,             0.00053124,             0.00053124,             0.00053124
                     42,                 1.3697,                0.82438,                0.91535,                0.82768,                0.74803,                0.81237,                0.59125,                 1.4349,                0.84839,                0.93814,             0.00052979,             0.00052979,             0.00052979
                     43,                 1.3862,                0.83656,                0.91339,                 0.8661,                   0.72,                0.80635,                0.58658,                 1.4198,                0.85128,                0.93567,             0.00052833,             0.00052833,             0.00052833
                     44,                 1.3692,                0.82567,                0.90797,                0.83346,                0.75858,                0.82195,                0.60116,                 1.4051,                0.84213,                0.93163,             0.00052688,             0.00052688,             0.00052688
                     45,                 1.3558,                0.81269,                0.91132,                0.85411,                 0.7402,                0.81835,                0.59815,                  1.419,                0.83965,                0.93778,             0.00052542,             0.00052542,             0.00052542
                     46,                 1.3702,                0.83227,                0.90886,                0.82291,                  0.774,                0.82358,                0.59588,                 1.4276,                 0.8417,                 0.9348,             0.00052397,             0.00052397,             0.00052397
                     47,                 1.3545,                0.81137,                0.90704,                0.84253,                0.73834,                0.81276,                0.59445,                 1.4069,                0.84124,                0.93155,             0.00052251,             0.00052251,             0.00052251
                     48,                 1.3579,                0.81565,                0.91081,                0.85003,                0.76244,                0.82294,                0.60698,                 1.4204,                0.83573,                0.93729,             0.00052106,             0.00052106,             0.00052106
