                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0238,                 2.5481,                 1.2322,                 0.3101,                0.28804,                0.23932,                 0.1536,                 1.8752,                 1.8525,                  1.137,             0.00019528,             0.00019528,             0.00019528
                      2,                  1.875,                 1.8728,                 1.1272,                 0.3712,                0.34759,                0.29672,                0.19704,                 1.7995,                 1.8221,                 1.1077,             0.00039063,             0.00039063,             0.00039063
                      3,                 1.8379,                 1.7825,                 1.1235,                0.47516,                0.33801,                0.34403,                0.21466,                 1.7974,                 1.6935,                 1.1226,             0.00058534,             0.00058534,             0.00058534
                      4,                 1.7851,                 1.6113,                 1.1136,                 0.5371,                0.42077,                0.40578,                0.26632,                 1.7662,                 1.5104,                  1.108,             0.00058509,             0.00058509,             0.00058509
                      5,                 1.7588,                 1.5329,                 1.0894,                0.62032,                0.43579,                 0.4688,                 0.3119,                 1.7136,                  1.395,                 1.0888,             0.00058509,             0.00058509,             0.00058509
                      6,                 1.7412,                 1.4502,                 1.0616,                0.49109,                 0.4749,                0.46674,                0.31524,                 1.6882,                 1.4034,                 1.0694,             0.00058412,             0.00058412,             0.00058412
                      7,                 1.6965,                  1.383,                 1.0609,                0.68561,                0.49082,                0.52989,                0.35501,                 1.6881,                 1.3316,                 1.0726,             0.00058315,             0.00058315,             0.00058315
                      8,                 1.6589,                 1.3511,                 1.0488,                0.59606,                0.54047,                0.54506,                0.38108,                 1.6371,                  1.302,                 1.0582,             0.00058218,             0.00058218,             0.00058218
                      9,                 1.6571,                 1.2967,                 1.0449,                0.62215,                0.54348,                 0.5706,                0.39115,                 1.6195,                 1.2467,                  1.041,             0.00058121,             0.00058121,             0.00058121
                     10,                 1.6529,                  1.322,                 1.0353,                0.60217,                0.59415,                0.59876,                0.41142,                 1.6061,                 1.2171,                 1.0436,             0.00058024,             0.00058024,             0.00058024
                     11,                 1.6327,                 1.2453,                 1.0339,                 0.5999,                0.58223,                0.59195,                 0.4127,                  1.609,                   1.29,                 1.0466,             0.00057927,             0.00057927,             0.00057927
                     12,                 1.6127,                 1.2263,                   1.03,                 0.6131,                0.58488,                 0.5982,                0.41311,                  1.599,                 1.2004,                 1.0365,              0.0005783,              0.0005783,              0.0005783
                     13,                 1.5848,                 1.1989,                 1.0291,                0.64359,                0.58517,                0.62524,                0.43528,                 1.6266,                 1.1918,                 1.0489,             0.00057733,             0.00057733,             0.00057733
                     14,                 1.5903,                 1.1894,                  1.015,                0.70335,                0.62363,                0.68421,                0.48683,                 1.5582,                 1.1254,                 1.0201,             0.00057636,             0.00057636,             0.00057636
                     15,                 1.5711,                 1.1346,                  1.017,                0.73044,                0.64857,                0.69513,                0.48613,                 1.5775,                 1.0898,                 1.0208,             0.00057539,             0.00057539,             0.00057539
                     16,                  1.582,                 1.1743,                 1.0124,                0.73832,                0.66372,                0.70348,                0.49764,                 1.5488,                 1.0824,                 1.0182,             0.00057442,             0.00057442,             0.00057442
                     17,                 1.5574,                 1.1053,                 1.0087,                0.77111,                0.62497,                0.68314,                0.47526,                 1.5972,                 1.0897,                 1.0289,             0.00057345,             0.00057345,             0.00057345
                     18,                 1.5569,                 1.0773,                 1.0056,                0.73338,                0.64954,                0.68352,                0.48892,                 1.5438,                 1.0864,                 1.0311,             0.00057248,             0.00057248,             0.00057248
                     19,                 1.5155,                 1.0554,                0.99852,                0.75408,                0.66962,                0.70559,                0.50038,                 1.5385,                 1.0618,                 1.0117,             0.00057151,             0.00057151,             0.00057151
                     20,                 1.4972,                 1.0355,                0.98741,                 0.7169,                0.64999,                0.71564,                0.50815,                 1.5403,                 1.0668,                 1.0186,             0.00057054,             0.00057054,             0.00057054
                     21,                 1.5397,                 1.0324,                0.99743,                0.78195,                0.68058,                 0.7216,                0.51309,                 1.5741,                 1.0751,                 1.0355,             0.00056957,             0.00056957,             0.00056957
                     22,                  1.489,                 1.0154,                 0.9894,                 0.7624,                 0.6912,                0.74003,                0.53472,                 1.5177,                 1.0262,                 1.0199,              0.0005686,              0.0005686,              0.0005686
                     23,                 1.4934,                 1.0037,                 0.9917,                0.82016,                0.70449,                0.75342,                0.52453,                 1.5588,                 0.9915,                 1.0262,             0.00056763,             0.00056763,             0.00056763
                     24,                 1.5079,                0.98868,                0.99322,                0.80435,                0.70345,                0.75585,                0.54069,                 1.5287,                0.99963,                 1.0131,             0.00056666,             0.00056666,             0.00056666
                     25,                 1.4782,                0.95368,                0.98036,                0.78938,                0.71367,                0.75435,                0.54489,                 1.5068,                0.97891,                 1.0128,             0.00056569,             0.00056569,             0.00056569
                     26,                 1.4627,                 0.9549,                0.97612,                0.81208,                0.69212,                 0.7588,                0.54844,                 1.5004,                0.96323,                  1.006,             0.00056472,             0.00056472,             0.00056472
                     27,                 1.4516,                0.93363,                0.97652,                0.77488,                0.69069,                0.72823,                0.52592,                 1.5017,                0.99518,                 1.0018,             0.00056374,             0.00056374,             0.00056374
                     28,                 1.4779,                0.97135,                0.97859,                0.79234,                0.69291,                0.75559,                0.53937,                 1.4939,                0.98437,                 1.0041,             0.00056277,             0.00056277,             0.00056277
                     29,                 1.4816,                0.96217,                0.97715,                0.80243,                0.69172,                0.75419,                0.53476,                 1.5015,                 0.9508,                 1.0029,              0.0005618,              0.0005618,              0.0005618
                     30,                 1.4574,                0.90865,                0.97235,                 0.7962,                0.70419,                0.76709,                0.54789,                  1.493,                0.95412,                 0.9976,             0.00056083,             0.00056083,             0.00056083
                     31,                 1.4284,                0.91047,                0.96581,                0.83031,                0.71658,                0.78174,                0.56598,                  1.471,                0.91315,                0.99514,             0.00055986,             0.00055986,             0.00055986
                     32,                 1.4575,                0.91007,                0.97507,                0.78613,                0.73249,                0.76939,                0.55782,                 1.5132,                0.93284,                 1.0136,             0.00055889,             0.00055889,             0.00055889
                     33,                  1.422,                0.89372,                0.96686,                0.80621,                0.74455,                0.78113,                0.56706,                 1.4746,                0.90853,                 0.9926,             0.00055792,             0.00055792,             0.00055792
                     34,                 1.4386,                 0.8921,                0.97045,                0.84903,                0.73221,                0.79299,                0.57502,                 1.4807,                0.89399,                 1.0128,             0.00055695,             0.00055695,             0.00055695
                     35,                 1.4024,                0.87297,                0.96029,                0.84607,                0.72705,                 0.8073,                0.59477,                 1.4556,                 0.8811,                0.99559,             0.00055598,             0.00055598,             0.00055598
