                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2511,                 3.9584,                 1.2752,                0.69484,                0.08937,                0.07252,                0.03911,                 2.1711,                 2.7954,                 1.1567,             0.00019528,             0.00019528,             0.00019528
                      2,                 2.2434,                 2.8956,                 1.1645,                0.63264,                0.12233,                0.09334,                0.05122,                 2.1045,                  2.417,                 1.1026,             0.00039063,             0.00039063,             0.00039063
                      3,                 2.1718,                 2.6269,                 1.1525,                0.49592,                0.13109,                0.12786,                0.06624,                  1.999,                 2.1726,                 1.0997,             0.00058534,             0.00058534,             0.00058534
                      4,                 2.1278,                 2.4192,                 1.1486,                0.45095,                0.14773,                 0.1282,                0.06968,                 1.9638,                 2.0892,                 1.1091,             0.00058509,             0.00058509,             0.00058509
                      5,                 2.0909,                 2.3063,                 1.1294,                0.12256,                0.24709,                0.14811,                0.08315,                 1.9127,                 2.0562,                 1.0912,             0.00058509,             0.00058509,             0.00058509
                      6,                 2.0765,                 2.1916,                  1.104,                0.29232,                0.23346,                0.14895,                0.08359,                 1.9182,                 1.9695,                 1.0827,             0.00058412,             0.00058412,             0.00058412
                      7,                 2.0076,                 2.1133,                 1.1034,                0.50597,                  0.212,                0.18151,                0.10028,                 1.9258,                 1.9061,                 1.0778,             0.00058315,             0.00058315,             0.00058315
                      8,                 1.9842,                 2.0387,                 1.0923,                0.37246,                0.27263,                0.20666,                0.12537,                 1.9071,                 1.8486,                 1.0692,             0.00058218,             0.00058218,             0.00058218
                      9,                 1.9634,                 1.9837,                 1.0916,                0.57675,                0.29687,                0.24138,                0.15108,                 1.8745,                  1.781,                 1.0655,             0.00058121,             0.00058121,             0.00058121
                     10,                 1.9727,                  1.983,                 1.0824,                0.57741,                0.29567,                0.25098,                0.15367,                 1.8678,                 1.7451,                 1.0622,             0.00058024,             0.00058024,             0.00058024
                     11,                 1.9468,                 1.9105,                  1.082,                 0.6118,                0.29227,                 0.2708,                0.17346,                 1.8298,                 1.7023,                 1.0595,             0.00057927,             0.00057927,             0.00057927
