                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1416,                 4.2974,                  1.273,                0.02567,                  0.115,                0.03926,                0.02067,                 2.2649,                 3.8097,                 1.0997,             0.00019244,             0.00019244,             0.00019244
                      2,                 2.2954,                 3.2755,                 1.1358,                0.77004,                0.07005,                0.06406,                0.03368,                 2.3494,                 2.7497,                 1.1043,             0.00038459,             0.00038459,             0.00038459
                      3,                 2.2725,                 2.7962,                 1.0975,                0.58032,                0.09823,                0.07852,                0.04192,                 2.2344,                 2.4503,                 1.0825,             0.00057286,             0.00057286,             0.00057286
                      4,                 2.2148,                 2.4964,                 1.0889,                0.52118,                 0.1123,                0.10111,                0.05335,                 2.2033,                 2.3021,                 1.0466,             0.00057054,             0.00057054,             0.00057054
                      5,                  2.148,                 2.2296,                 1.0609,                0.61982,                0.12325,                0.12509,                0.07103,                 2.1097,                 2.1024,                 1.0415,             0.00057054,             0.00057054,             0.00057054
                      6,                 2.1155,                 2.0823,                 1.0458,                0.53971,                0.15016,                0.15144,                0.08457,                 2.0609,                 1.8725,                 1.0258,             0.00056472,             0.00056472,             0.00056472
                      7,                 2.0396,                 1.9913,                 1.0359,                0.66484,                0.15735,                0.18018,                0.10548,                 2.0442,                 1.8769,                 1.0191,             0.00055889,             0.00055889,             0.00055889
                      8,                 2.0457,                 1.8946,                  1.028,                0.57405,                0.22167,                0.18958,                0.10992,                 2.0271,                  1.781,                 1.0262,             0.00055307,             0.00055307,             0.00055307
                      9,                 2.0095,                 1.8156,                 1.0285,                0.52567,                0.21471,                 0.1893,                 0.1149,                 1.9545,                 1.7181,                 1.0103,             0.00054725,             0.00054725,             0.00054725
                     10,                 1.9731,                 1.7749,                 1.0089,                0.55771,                0.24346,                0.22273,                0.13685,                 1.9249,                 1.6365,                 1.0066,             0.00054143,             0.00054143,             0.00054143
                     11,                 1.9692,                 1.7414,                 1.0161,                0.60747,                0.23514,                0.23134,                0.14251,                 1.9222,                  1.601,                0.99475,             0.00053561,             0.00053561,             0.00053561
                     12,                 1.9573,                 1.7031,                 1.0113,                0.63025,                0.22189,                0.23518,                0.14287,                 1.9221,                 1.5986,                 1.0026,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.9643,                 1.6743,                 1.0037,                0.49392,                0.24182,                0.23849,                0.14125,                 1.9973,                 1.5802,                 1.0056,             0.00052397,             0.00052397,             0.00052397
                     14,                 1.9143,                 1.6416,                0.99796,                0.49531,                0.26412,                0.25567,                0.16296,                 1.8451,                 1.5119,                0.98177,             0.00051815,             0.00051815,             0.00051815
                     15,                 1.8886,                 1.6094,                 1.0005,                 0.3446,                0.27587,                0.27025,                0.16687,                 1.8616,                 1.5219,                0.98655,             0.00051232,             0.00051232,             0.00051232
                     16,                 1.8968,                 1.5816,                0.99779,                0.50848,                0.30137,                0.29059,                0.17877,                 1.8846,                 1.4818,                0.98939,              0.0005065,              0.0005065,              0.0005065
                     17,                 1.8745,                 1.5387,                0.98847,                0.51906,                0.31452,                0.30452,                0.19407,                 1.8011,                 1.4155,                0.97031,             0.00050068,             0.00050068,             0.00050068
                     18,                  1.836,                  1.516,                0.98397,                0.57511,                0.28478,                0.28814,                0.17029,                 1.9385,                 1.4859,                0.99319,             0.00049486,             0.00049486,             0.00049486
                     19,                 1.8206,                 1.4996,                0.98597,                0.43401,                0.31241,                0.31059,                 0.1995,                 1.8182,                 1.4046,                0.97633,             0.00048904,             0.00048904,             0.00048904
                     20,                 1.8153,                 1.4737,                0.98474,                0.45393,                0.31492,                0.31759,                 0.2005,                 1.8181,                 1.4087,                0.97725,             0.00048322,             0.00048322,             0.00048322
                     21,                 1.8123,                 1.4814,                0.97641,                0.54241,                0.30482,                0.32872,                0.21168,                 1.7973,                 1.3948,                0.96616,              0.0004774,              0.0004774,              0.0004774
                     22,                 1.8583,                 1.4764,                0.97993,                0.67229,                0.30344,                0.34581,                 0.2129,                 1.9096,                 1.4267,                0.98187,             0.00047158,             0.00047158,             0.00047158
                     23,                 1.8568,                 1.4522,                0.97917,                0.60749,                0.31296,                0.34827,                0.21586,                 1.8456,                 1.3769,                  0.973,             0.00046575,             0.00046575,             0.00046575
                     24,                 1.8281,                 1.4446,                 0.9789,                 0.5692,                0.31385,                 0.3576,                0.22861,                 1.7648,                 1.3708,                0.96626,             0.00045993,             0.00045993,             0.00045993
                     25,                 1.8178,                 1.4231,                0.97203,                0.56456,                0.33428,                0.36147,                0.23074,                 1.7637,                 1.3596,                0.96216,             0.00045411,             0.00045411,             0.00045411
                     26,                 1.8265,                  1.424,                0.97614,                0.58865,                 0.3134,                0.35429,                0.22907,                 1.7395,                 1.3249,                0.96281,             0.00044829,             0.00044829,             0.00044829
                     27,                 1.8073,                 1.3806,                0.96965,                0.50887,                  0.334,                0.37112,                0.23812,                 1.8106,                 1.3203,                0.98045,             0.00044247,             0.00044247,             0.00044247
                     28,                 1.8061,                 1.3794,                0.96678,                0.57204,                0.34372,                 0.3877,                 0.2488,                  1.755,                  1.291,                0.96411,             0.00043665,             0.00043665,             0.00043665
                     29,                 1.7827,                 1.3774,                0.96797,                0.62493,                0.34532,                 0.3914,                0.24809,                 1.7452,                 1.2802,                0.95856,             0.00043083,             0.00043083,             0.00043083
